title,developer,publisher,genres,category,overallAvgRating,reviewCount,finalAmount,baseAmount,discountPercentage,isDiscounted,isFree,globalReleaseDate,isGame,main_genre,release_year
Descent: Freespace Battle Pack,Volition,Interplay,"['Simulation', 'Combat', 'Sci-fi']",Simulation,4.7,117,9.99,9.99,0,False,False,889653600.0,True,Simulation,1998.0
Freespace 2,Volition,Interplay,"['Simulation', 'Combat', 'Sci-fi']",Simulation,4.8,328,9.99,9.99,0,False,False,938638800.0,True,Simulation,1999.0
MDK,Shiny Entertainment,Interplay,"['Action', 'TPP', 'Sci-fi']",Action,4.4,148,7.99,9.99,20,True,False,862347600.0,True,Action,1997.0
Messiah,Shiny Entertainment,Interplay,"['Action', 'TPP', 'Sci-fi']",Action,3.7,57,11.99,14.99,20,True,False,954450000.0,True,Action,2000.0
Lionheart: Legacy of the Crusader,Reflexive Entertainment,Interplay,"['Role-playing', 'Adventure', 'Fantasy']",Role-playing,3.6,75,7.99,9.99,20,True,False,1060722000.0,True,Role-playing,2003.0
Kingpin: Life of Crime,Xatrix Entertainment,Interplay,"['Shooter', 'FPP', 'Modern']",Shooter,3.8,98,7.99,9.99,20,True,False,930690000.0,True,Shooter,1999.0
M.A.X. + M.A.X. 2,Interplay,Interplay,"['Strategy', 'Turn-based', 'Sci-fi']",Strategy,4.3,65,8.49,12.09,30,True,False,901832400.0,True,Strategy,1998.0
EVERSPACE™ 2 - Supporter Pack,ROCKFISH Games,ROCKFISH Games,"['Role-playing', 'Action', 'Sci-fi']",Role-playing,5.0,1,7.99,9.99,20,True,False,1714338000.0,True,Role-playing,2024.0
Atlantic Fleet,Killerfish Games,Killerfish Games,"['Simulation', 'Strategy', 'Naval']",Simulation,4.0,30,4.99,9.99,50,True,False,1456351200.0,True,Simulation,2016.0
Witchaven II: Blood Vengeance,Capstone Software,SNEG,"['Shooter', 'Action', 'FPP']",Shooter,3.3,10,1.69,6.59,74,True,False,831330000.0,True,Shooter,1996.0
Tales of Maj'Eyal: Forbidden Cults,Netcore,Netcore,"['Role-playing', 'Turn-based', 'Roguelike']",Role-playing,4.9,1,6.99,6.99,0,False,False,1526418000.0,True,Role-playing,2018.0
SpongeBob SquarePants: The Cosmic Shake,Purple Lamp,THQ Nordic GmbH,"['Adventure', 'TPP', 'Platformer']",Adventure,4.3,11,13.26,39.99,67,True,False,1675116000.0,True,Adventure,2023.0
Kao the Kangaroo,Tate Multimedia,Tate Multimedia,"['Action', 'Adventure', 'Platformer']",Action,4.1,6,7.49,29.99,75,True,False,1653598800.0,True,Action,2022.0
Master of Magic,"MuHa Games, Eerie Forest Studio",Slitherine Ltd.,"['Strategy', 'Turn-based', 'Fantasy']",Strategy,3.6,98,15.59,38.99,60,True,False,1670882400.0,True,Strategy,2022.0
